Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","CP_Elec_5x5.4",150.495000,-107.315000,180.000000,top
"C2","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",157.820000,-107.315000,90.000000,top
"C3","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",165.100000,-45.720000,0.000000,top
"C4","100u","CP_Elec_5x5.4",165.100000,-50.800000,0.000000,top
"C5","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",165.100000,-55.880000,0.000000,top
"C6","100u","CP_Elec_5x5.4",194.945000,-57.785000,-90.000000,top
"C7","100u","CP_Elec_5x5.4",213.360000,-118.110000,0.000000,top
"C8","100u","CP_Elec_5x5.4",204.470000,-123.190000,-90.000000,top
"C9","100u","CP_Elec_5x5.4",189.230000,-123.190000,-90.000000,top
"C10","100u","CP_Elec_5x5.4",173.990000,-123.190000,-90.000000,top
"D1","PWR","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.415000,-37.710000,-90.000000,top
"D2","D_Schottky","SOT-23",151.130000,-61.595000,-90.000000,top
"D3","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.415000,-60.960000,-90.000000,top
"J1","Screw_Terminal_01x02","ScrewTerminalP3.5mm",176.840000,-36.830000,90.000000,top
"J2","Screw_Terminal_01x02","ScrewTerminalP3.5mm",188.270000,-36.830000,90.000000,top
"J3","Screw_Terminal_01x02","ScrewTerminalP3.5mm",198.430000,-36.830000,90.000000,top
"J4","Screw_Terminal_01x02","ScrewTerminalP3.5mm",209.860000,-36.830000,90.000000,top
"J5","Barrel_Jack_Switch","BarrelJack_Horizontal",154.940000,-46.640000,-90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",214.630000,-123.190000,-90.000000,top
"J7","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",199.390000,-123.190000,-90.000000,top
"J8","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",184.135000,-123.190000,-90.000000,top
"J9","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",168.910000,-123.190000,-90.000000,top
"J10","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",210.820000,-68.570000,180.000000,top
"J11","Conn_01x09_Pin","PinHeader_1x09_P2.54mm_Vertical",210.820000,-78.740000,0.000000,top
"J13","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",162.560000,-113.035000,180.000000,top
"J14","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",167.640000,-113.035000,180.000000,top
"J15","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",171.450000,-113.035000,180.000000,top
"J16","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",176.530000,-113.035000,180.000000,top
"J17","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",180.340000,-113.035000,180.000000,top
"J18","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",170.820000,-103.505000,-90.000000,top
"Q1","BSS138","SOT-23",204.790000,-116.507500,-90.000000,top
"Q2","BSS138","SOT-23",198.440000,-116.507500,-90.000000,top
"Q3","BSS138","SOT-23",192.090000,-116.507500,-90.000000,top
"Q4","BSS138","SOT-23",185.740000,-116.507500,-90.000000,top
"R1","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",145.415000,-42.545000,90.000000,top
"R2","180","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",145.415000,-55.880000,90.000000,top
"R3","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.835000,-110.490000,-90.000000,top
"R4","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",206.375000,-110.490000,-90.000000,top
"R5","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",197.485000,-110.490000,-90.000000,top
"R6","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",200.025000,-110.490000,-90.000000,top
"R7","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.135000,-110.490000,-90.000000,top
"R8","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",193.675000,-110.490000,-90.000000,top
"R9","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.420000,-110.490000,-90.000000,top
"R10","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",187.960000,-110.490000,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_XKB_TS-1187A",160.020000,-62.865000,0.000000,top
"U1","Pico","RPi_Pico_SMD_TH",168.275000,-81.915000,90.000000,top
"U2","~","DRV8835",176.525000,-51.170000,90.000000,top
"U3","~","DRV8835",198.115000,-51.170000,90.000000,top
"U4","NRF24L01_Breakout","nRF24L01_Breakout",156.845000,-113.665000,-90.000000,top
"U5","HT7805ARMZ","TO-252-2",153.035000,-52.705000,180.000000,top
